Country,FDI,FDI%,GDPPC%,GGNLB,GGR,GGE,IACP%,NBTTI,ODA,ODAA
AGO,1678971010,1.99,9.83,-4.46,50.94,55.39,12.47,432.93,16.96,369040000
BEN ,48016408.32,0.67,1.97,-0.06,19.83,19.89,7.94,113.82,73.21,636720000
BFA,33056780.41,0.39,4.1,-4.08,16.83,20.91,10.67,90.9,68.1,1000380000
BDI,3833208.35,0.24,1.56,-2.7,38.46,41.16,24.41,122.4,63.37,520430000
CPV,210903689.3,11.79,5.5,-1.55,28.7,30.25,6.79,95.38,451.23,221880000
CMR,20910875.62,0.08,0.69,1.97,18.72,16.75,5.34,141.21,29.18,551790000
CAF,117110000,5.9,0.42,-1.26,15.15,16.41,9.26,83.71,59.92,260370000
TCD,466131000,4.5,-0.26,3.61,22.41,18.8,8.31,218.89,39.68,441810000
COM,4631824.19,0.89,-1.98,-2.52,23.51,26.03,4.82,64.16,63.97,42040000
COD,1726800000,8.73,2.78,-0.41,11.53,11.94,17.97,154.39,29.27,1766900000
COG,1940120151,16.36,2,27.25,54.8,27.55,6.02,210.31,118.25,486630000
CIV,466489597,1.93,0.38,-0.29,19.88,20.17,6.32,140.82,29.98,584630000
ETH,108537544,0.4,7.88,-2.88,15.87,18.76,44.37,118.87,39.87,3316250000
GAB,773000000,4.98,-6.28,10.99,29.92,18.93,5.26,223.37,41.73,64120000
GMB,70792382.32,7.33,2.44,-1.21,17.95,19.16,4.45,104.93,59.57,94630000
GHA,2714916344,9.52,6.35,-8,15.95,23.95,16.51,151.86,56.32,1312170000
GIN,381880000,5.45,1.85,0.37,10.46,10.09,18.37,118.35,34.02,351220000
GNB,6630074.03,0.77,0.77,-0.81,23.07,23.87,10.45,74.12,91.63,135690000
KEN,95585680.23,0.27,-2.49,-3.38,19.45,22.83,15.1,86.38,34.83,1363400000
LSO,11009973.06,0.59,5.8,7.6,57.18,49.58,10.69,74.84,72.36,144710000
LBR,283536077.4,33.36,2.76,-11.02,18.73,29.75,17.49,121.37,341.36,1250410000
MDG,1134497642,12.05,4.11,-1.96,15.94,17.9,9.3,69.32,42.37,847200000
MWI,195424461.1,3.67,4.39,-3.69,28.08,31.77,8.72,78.96,64.8,924740000
MLI,266432781.9,2.73,1.35,-1.99,16.98,18.97,9.12,125.42,68.45,967750000
MOZ,641399415.8,5.58,3.8,-2.13,21.8,23.93,10.33,104.05,87.24,1993090000
NER,281935056.4,5.22,5.56,1.49,24.13,22.64,11.29,168.84,40.41,615450000
NGA,8195499253,3.94,3.49,5.7,20.08,14.38,11.58,246.31,8.6,1293720000
RWA,103346051.9,2.13,8.18,0.88,24.82,23.94,15.44,185.42,96.36,935500000
STP,79143388.76,42.09,5.72,13.65,44.1,30.45,31.99,120.57,283.32,47290000
SYC,179825444.2,18.59,-4.31,7.88,34.87,26.99,36.97,79.79,86.14,7490000
SLE,53095074.15,2.12,2.83,-3.47,12.7,16.16,14.83,65.6,61.53,379340000
TZA,1383260000,5.05,2.29,-1.95,16.56,18.5,10.28,117.35,53.87,2331150000
TGO,50687212.17,1.6,-0.5,-0.81,16.26,17.07,8.7,115.51,53.58,330140000
UGA,728860900.7,5.12,5.02,-2.59,14.21,16.8,12.04,100.44,51.9,1643390000
ZMB,938620000,5.24,4.84,-0.67,18.79,19.46,12.45,183.9,85.21,1114700000
